ticket_id,customer_id,region,channel,category,priority,agent_id,created_date,resolved_date,first_response_time_hours,resolution_time_hours,csat_score,status,sla_breached
TKT000833,CUST_081,West,Email,Other,Medium,AGENT_13,2026-05-28,2026-05-30,5.1,50.3,5,Closed,Yes
TKT001533,CUST_051,Central,Chat,Account Access,Medium,AGENT_14,2026-05-08,2026-05-09,4.6,42.6,5,Resolved,Yes
TKT003804,CUST_058,South,Email,Delivery Delay,Low,AGENT_06,2026-04-12,2026-04-18,29.5,157.6,4,Resolved,Yes
TKT000718,CUST_059,Central,Email,Other,Medium,AGENT_10,2026-01-25,2026-01-26,23.9,36.8,5,Resolved,Yes
TKT000925,CUST_056,West,Chat,Other,Low,AGENT_06,2026-01-26,,22.1,82.1,5,Resolved,Yes
TKT003518,CUST_125,West,Chat,Damaged Goods,Medium,AGENT_07,2026-03-05,2026-03-07,1.0,48.6,3,Resolved,Yes
TKT003762,CUST_016,West,Phone,Billing,Critical,AGENT_05,2026-02-04,2026-02-04,0.8,6.2,4,Resolved,Yes
TKT000227,CUST_007,East,Chat,Delivery Delay,Medium,AGENT_04,2026-04-04,2026-04-06,21.3,56.1,3,Resolved,Yes
TKT000949,CUST_140,South,Email,Delivery Delay,Low,AGENT_04,2026-02-26,2026-03-03,25.0,141.9,4,Closed,Yes
TKT004659,CUST_116,South,Chat,Billing,Critical,AGENT_04,2026-03-12,2026-03-12,1.7,6.6,3,Closed,Yes
TKT001457,CUST_058,East,Chat,Billing,Medium,AGENT_04,2026-04-10,2026-04-11,1.4,38.8,,Reopened,Yes
TKT003774,CUST_002,Central,Phone,Account Access,Low,AGENT_09,2026-04-05,,27.3,,,Open,No
TKT002196,CUST_112,West,Email,Delivery Delay,Medium,AGENT_12,2026-03-29,2026-04-01,19.3,73.7,,Reopened,Yes
TKT001532,CUST_129,East,Phone,Delivery Delay,Low,AGENT_05,2026-03-21,2026-03-24,28.5,89.6,,Reopened,Yes
TKT003635,CUST_071,West,Phone,Damaged Goods,Critical,AGENT_06,2026-04-27,2026-04-27,0.9,,3,Resolved,Yes
TKT004014,CUST_016,Central,Chat,Delivery Delay,High,AGENT_12,2026-05-07,2026-05-07,2.4,9.4,1,Resolved,No
TKT000536,CUST_045,West,Chat,Other,Medium,AGENT_05,2026-04-24,2026-04-25,20.1,45.2,4,Resolved,Yes
TKT002062,CUST_017,West,Phone,Billing,High,AGENT_10,2026-03-13,2026-03-14,7.2,,5,Resolved,Yes
TKT004747,CUST_072,East,Email,Damaged Goods,Medium,AGENT_14,2026-02-07,2026-02-07,2.0,21.7,2,Resolved,No
TKT004663,CUST_053,East,Email,Other,High,AGENT_07,2026-03-02,2026-03-08,7.1,162.2,5,Resolved,Yes
TKT001114,CUST_061,Central,Email,Delivery Delay,Low,AGENT_03,2026-04-03,2026-04-08,31.9,138.0,5,Resolved,Yes
TKT004348,CUST_010,North,Chat,Billing,Low,AGENT_02,2026-04-09,2026-04-11,42.0,51.2,3,Resolved,No
TKT002279,CUST_127,East,Chat,Billing,Low,AGENT_05,2026-05-14,2026-05-17,23.4,76.7,4,Resolved,Yes
TKT002041,CUST_123,South,Phone,Account Access,Medium,AGENT_05,2026-01-01,2026-01-01,18.0,,5,Resolved,No
TKT004358,CUST_016,West,Phone,Damaged Goods,Medium,AGENT_11,2026-05-03,2026-05-04,20.1,,3,Resolved,Yes
TKT003120,CUST_124,South,Email,Other,High,AGENT_11,2026-04-10,2026-04-10,7.7,17.3,4,Resolved,Yes
TKT004299,CUST_100,Central,Phone,Delivery Delay,High,AGENT_03,2026-03-18,2026-03-18,3.9,,5,Resolved,No
TKT000514,CUST_034,North,Phone,Other,Medium,AGENT_10,2026-04-12,2026-04-14,2.7,,,Reopened,Yes
TKT000225,CUST_078,East,Chat,Damaged Goods,Medium,AGENT_13,2026-05-12,2026-05-15,17.4,79.4,5,Resolved,Yes
TKT004944,CUST_129,South,Portal,Other,Low,AGENT_07,2026-03-20,,14.1,685.8,5,Resolved,Yes
TKT003164,CUST_134,West,Chat,Delivery Delay,Medium,AGENT_02,2026-01-24,2026-01-24,9.8,20.7,4,Resolved,No
TKT001189,CUST_020,South,Email,Billing,Medium,AGENT_03,2026-06-20,2026-06-22,15.8,69.9,4,Resolved,Yes
TKT002813,CUST_018,East,Email,Delivery Delay,High,AGENT_14,,2026-06-12,4.2,20.8,,Reopened,Yes
TKT000990,CUST_037,Central,Phone,Delivery Delay,Low,AGENT_03,2026-03-20,2026-03-22,11.3,,4,Resolved,No
